id,case_id,title,href
22510,54992,"Oral Argument - November 27, 2001",https://api.oyez.org/case_media/oral_argument_audio/22510
22263,54993,"Oral Argument - January 07, 2002",https://api.oyez.org/case_media/oral_argument_audio/22263
22788,54994,"Oral Argument - November 28, 2001",https://api.oyez.org/case_media/oral_argument_audio/22788
22813,54996,"Oral Argument - January 09, 2002",https://api.oyez.org/case_media/oral_argument_audio/22813
23138,54998,"Oral Argument - February 20, 2002",https://api.oyez.org/case_media/oral_argument_audio/23138
23067,54999,"Oral Argument - October 01, 2001",https://api.oyez.org/case_media/oral_argument_audio/23067
22780,55000,"Oral Argument - November 27, 2001",https://api.oyez.org/case_media/oral_argument_audio/22780
21934,55001,"Oral Argument - November 06, 2001",https://api.oyez.org/case_media/oral_argument_audio/21934
22394,55002,"Oral Argument - January 07, 2002",https://api.oyez.org/case_media/oral_argument_audio/22394
21735,55003,"Oral Argument - October 03, 2001",https://api.oyez.org/case_media/oral_argument_audio/21735
21372,55004,"Oral Argument - October 30, 2001",https://api.oyez.org/case_media/oral_argument_audio/21372
22567,55005,"Oral Argument - October 02, 2001",https://api.oyez.org/case_media/oral_argument_audio/22567
22212,55006,"Oral Argument - April 16, 2002",https://api.oyez.org/case_media/oral_argument_audio/22212
21940,55007,"Oral Argument - October 10, 2001",https://api.oyez.org/case_media/oral_argument_audio/21940
22066,55008,"Oral Argument - December 04, 2001",https://api.oyez.org/case_media/oral_argument_audio/22066
21585,55009,"Oral Argument - April 23, 2002",https://api.oyez.org/case_media/oral_argument_audio/21585
21309,55010,"Oral Argument - October 03, 2001",https://api.oyez.org/case_media/oral_argument_audio/21309
22858,55013,"Oral Argument - February 26, 2002",https://api.oyez.org/case_media/oral_argument_audio/22858
22845,55014,"Oral Argument - March 27, 2002",https://api.oyez.org/case_media/oral_argument_audio/22845
22265,55015,"Oral Argument - February 25, 2002",https://api.oyez.org/case_media/oral_argument_audio/22265
22007,55016,"Oral Argument - April 24, 2002",https://api.oyez.org/case_media/oral_argument_audio/22007
22501,55017,"Oral Argument - January 14, 2002",https://api.oyez.org/case_media/oral_argument_audio/22501
22694,55018,"Oral Argument - April 24, 2002",https://api.oyez.org/case_media/oral_argument_audio/22694
23050,55019,"Oral Argument - December 05, 2001",https://api.oyez.org/case_media/oral_argument_audio/23050
22971,55020,"Oral Argument - January 09, 2002",https://api.oyez.org/case_media/oral_argument_audio/22971
22128,55022,"Oral Argument - April 23, 2002",https://api.oyez.org/case_media/oral_argument_audio/22128
22983,55023,"Oral Argument - March 26, 2002",https://api.oyez.org/case_media/oral_argument_audio/22983
21912,55024,"Oral Argument - November 06, 2001",https://api.oyez.org/case_media/oral_argument_audio/21912
22444,55025,"Oral Argument - October 09, 2001",https://api.oyez.org/case_media/oral_argument_audio/22444
23488,55026,"Oral Argument - March 25, 2002",https://api.oyez.org/case_media/oral_argument_audio/23488
22278,55027,"Oral Argument - January 08, 2002",https://api.oyez.org/case_media/oral_argument_audio/22278
21588,55028,"Oral Argument - November 26, 2001",https://api.oyez.org/case_media/oral_argument_audio/21588
23119,55029,"Oral Argument - October 29, 2001",https://api.oyez.org/case_media/oral_argument_audio/23119
22124,55030,"Oral Argument - November 05, 2002",https://api.oyez.org/case_media/oral_argument_audio/22124
22129,55031,"Oral Argument - December 11, 2002",https://api.oyez.org/case_media/oral_argument_audio/22129
23479,55032,"Oral Argument - April 28, 2003",https://api.oyez.org/case_media/oral_argument_audio/23479
22662,55034,"Oral Argument - January 15, 2003",https://api.oyez.org/case_media/oral_argument_audio/22662
22381,55035,"Oral Argument - April 23, 2003",https://api.oyez.org/case_media/oral_argument_audio/22381
23154,55036,"Oral Argument - November 04, 2002",https://api.oyez.org/case_media/oral_argument_audio/23154
23646,55037,"Oral Argument - April 02, 2003",https://api.oyez.org/case_media/oral_argument_audio/23646
21806,55038,"Oral Argument - January 13, 2003",https://api.oyez.org/case_media/oral_argument_audio/21806
21876,55039,"Oral Argument - October 07, 2002",https://api.oyez.org/case_media/oral_argument_audio/21876
23539,55040,"Oral Argument - April 01, 2003",https://api.oyez.org/case_media/oral_argument_audio/23539
21736,55041,"Oral Argument - December 11, 2002",https://api.oyez.org/case_media/oral_argument_audio/21736
22048,55042,"Oral Argument - January 13, 2003",https://api.oyez.org/case_media/oral_argument_audio/22048
21712,55043,"Oral Argument - October 08, 2002",https://api.oyez.org/case_media/oral_argument_audio/21712
21451,55044,"Oral Argument - October 16, 2002",https://api.oyez.org/case_media/oral_argument_audio/21451
22755,55045,"Oral Argument - April 30, 2003",https://api.oyez.org/case_media/oral_argument_audio/22755
23566,55046,"Oral Argument - April 30, 2003",https://api.oyez.org/case_media/oral_argument_audio/23566
22460,55047,"Oral Argument - March 03, 2003",https://api.oyez.org/case_media/oral_argument_audio/22460
22260,55048,"Oral Argument - December 03, 2002",https://api.oyez.org/case_media/oral_argument_audio/22260
22380,55049,"Oral Argument - February 25, 2003",https://api.oyez.org/case_media/oral_argument_audio/22380
22101,55050,"Oral Argument - January 14, 2003",https://api.oyez.org/case_media/oral_argument_audio/22101
21789,55051,"Oral Argument - December 04, 2002",https://api.oyez.org/case_media/oral_argument_audio/21789
21843,55053,"Oral Argument - March 04, 2003",https://api.oyez.org/case_media/oral_argument_audio/21843
22639,55054,"Oral Argument - October 16, 2002",https://api.oyez.org/case_media/oral_argument_audio/22639
21432,55055,"Oral Argument - April 01, 2003",https://api.oyez.org/case_media/oral_argument_audio/21432
23489,55056,"Oral Argument - November 06, 2002",https://api.oyez.org/case_media/oral_argument_audio/23489
22544,55058,"Oral Argument - March 05, 2003",https://api.oyez.org/case_media/oral_argument_audio/22544
21731,55059,"Oral Argument - February 26, 2003",https://api.oyez.org/case_media/oral_argument_audio/21731
23592,55060,"Oral Argument - March 24, 2003",https://api.oyez.org/case_media/oral_argument_audio/23592
22554,55061,"Oral Argument - December 10, 2002",https://api.oyez.org/case_media/oral_argument_audio/22554
22691,55062,"Oral Argument - December 09, 2002",https://api.oyez.org/case_media/oral_argument_audio/22691
23015,55063,"Oral Argument - November 12, 2002",https://api.oyez.org/case_media/oral_argument_audio/23015
22051,55064,"Oral Argument - April 02, 2003",https://api.oyez.org/case_media/oral_argument_audio/22051
23545,55065,"Oral Argument - April 22, 2003",https://api.oyez.org/case_media/oral_argument_audio/23545
22338,55066,"Oral Argument - January 14, 2003",https://api.oyez.org/case_media/oral_argument_audio/22338
22013,55067,"Oral Argument - February 26, 2003",https://api.oyez.org/case_media/oral_argument_audio/22013
21883,55068,"Oral Argument - October 08, 2002",https://api.oyez.org/case_media/oral_argument_audio/21883
22910,55069,"Oral Argument - December 09, 2002",https://api.oyez.org/case_media/oral_argument_audio/22910
21891,55072,"Oral Argument - March 25, 2003",https://api.oyez.org/case_media/oral_argument_audio/21891
21352,55073,"Oral Argument - March 31, 2003",https://api.oyez.org/case_media/oral_argument_audio/21352
23541,55074,"Oral Argument - April 29, 2003",https://api.oyez.org/case_media/oral_argument_audio/23541
22063,55075,"Oral Argument - April 21, 2003",https://api.oyez.org/case_media/oral_argument_audio/22063
21964,55076,"Oral Argument - December 04, 2002",https://api.oyez.org/case_media/oral_argument_audio/21964
23184,55077,"Oral Argument - December 02, 2002",https://api.oyez.org/case_media/oral_argument_audio/23184
23580,55078,"Oral Argument - March 05, 2003",https://api.oyez.org/case_media/oral_argument_audio/23580
21893,55081,"Oral Argument - October 09, 2002",https://api.oyez.org/case_media/oral_argument_audio/21893
24071,55082,No oral argument,https://api.oyez.org/case_media/oral_argument_audio/24071
24070,55083,No oral argument,https://api.oyez.org/case_media/oral_argument_audio/24070
22437,55085,"Oral Argument - April 23, 2003",https://api.oyez.org/case_media/oral_argument_audio/22437
21958,55087,"Oral Argument - November 05, 2002",https://api.oyez.org/case_media/oral_argument_audio/21958
23647,55088,"Oral Argument - February 24, 2003",https://api.oyez.org/case_media/oral_argument_audio/23647
22246,55089,"Oral Argument - February 24, 2003",https://api.oyez.org/case_media/oral_argument_audio/22246
22427,55090,"Oral Argument - March 24, 2003",https://api.oyez.org/case_media/oral_argument_audio/22427
21503,55092,"Oral Argument - December 02, 2002",https://api.oyez.org/case_media/oral_argument_audio/21503
21918,55093,"Oral Argument - November 12, 2002",https://api.oyez.org/case_media/oral_argument_audio/21918
23175,55094,"Oral Argument - April 28, 2003",https://api.oyez.org/case_media/oral_argument_audio/23175
23169,55095,"Oral Argument - February 25, 2003",https://api.oyez.org/case_media/oral_argument_audio/23169
21825,55096,"Oral Argument - October 15, 2002",https://api.oyez.org/case_media/oral_argument_audio/21825
23652,55097,"Oral Argument - March 03, 2003",https://api.oyez.org/case_media/oral_argument_audio/23652
23048,55098,"Oral Argument - November 04, 2002",https://api.oyez.org/case_media/oral_argument_audio/23048
21865,55099,"Oral Argument - November 06, 2002",https://api.oyez.org/case_media/oral_argument_audio/21865
23508,55100,"Oral Argument - April 29, 2003",https://api.oyez.org/case_media/oral_argument_audio/23508
23609,55102,"Oral Argument - November 13, 2002",https://api.oyez.org/case_media/oral_argument_audio/23609
21441,55103,"Oral Argument - January 21, 2003",https://api.oyez.org/case_media/oral_argument_audio/21441
23621,55104,"Oral Argument - January 15, 2003",https://api.oyez.org/case_media/oral_argument_audio/23621
21647,55105,"Oral Argument - April 21, 2003",https://api.oyez.org/case_media/oral_argument_audio/21647
22417,55106,"Oral Argument - December 03, 2002",https://api.oyez.org/case_media/oral_argument_audio/22417
21551,55107,"Oral Argument - January 22, 2003",https://api.oyez.org/case_media/oral_argument_audio/21551
23577,55108,"Oral Argument - March 31, 2003",https://api.oyez.org/case_media/oral_argument_audio/23577
23600,55109,"Oral Argument - April 22, 2003",https://api.oyez.org/case_media/oral_argument_audio/23600
22909,55110,"Oral Argument - March 26, 2003",https://api.oyez.org/case_media/oral_argument_audio/22909
23604,55111,"Oral Argument - January 22, 2003",https://api.oyez.org/case_media/oral_argument_audio/23604
22972,55113,"Oral Argument - October 15, 2002",https://api.oyez.org/case_media/oral_argument_audio/22972
21418,55114,"Oral Argument - October 09, 2002",https://api.oyez.org/case_media/oral_argument_audio/21418
21873,55115,"Oral Argument - October 07, 2002",https://api.oyez.org/case_media/oral_argument_audio/21873
23147,55116,"Oral Argument - November 13, 2002",https://api.oyez.org/case_media/oral_argument_audio/23147
21560,55117,"Oral Argument - March 26, 2003",https://api.oyez.org/case_media/oral_argument_audio/21560
21947,55118,"Oral Argument - January 21, 2003",https://api.oyez.org/case_media/oral_argument_audio/21947
24072,55121,No oral argument,https://api.oyez.org/case_media/oral_argument_audio/24072
22790,55122,"Oral Argument - March 22, 2004",https://api.oyez.org/case_media/oral_argument_audio/22790
22887,55123,"Oral Argument - November 05, 2003",https://api.oyez.org/case_media/oral_argument_audio/22887
22108,55124,"Oral Argument - December 08, 2003",https://api.oyez.org/case_media/oral_argument_audio/22108
21520,55125,"Oral Argument - January 21, 2004",https://api.oyez.org/case_media/oral_argument_audio/21520
22031,55126,"Oral Argument - February 25, 2004",https://api.oyez.org/case_media/oral_argument_audio/22031
21935,55127,"Oral Argument - October 14, 2003",https://api.oyez.org/case_media/oral_argument_audio/21935
23069,55128,"Oral Argument - April 21, 2004",https://api.oyez.org/case_media/oral_argument_audio/23069
23505,55129,"Oral Argument - April 27, 2004",https://api.oyez.org/case_media/oral_argument_audio/23505
22490,55131,"Oral Argument - April 20, 2004",https://api.oyez.org/case_media/oral_argument_audio/22490
23635,55132,"Oral Argument - March 22, 2004",https://api.oyez.org/case_media/oral_argument_audio/23635
22355,55133,"Oral Argument - March 24, 2004",https://api.oyez.org/case_media/oral_argument_audio/22355
23103,55134,"Oral Argument - October 07, 2003",https://api.oyez.org/case_media/oral_argument_audio/23103
23144,55135,"Oral Argument - April 19, 2004",https://api.oyez.org/case_media/oral_argument_audio/23144
22206,55136,"Oral Argument - November 10, 2003",https://api.oyez.org/case_media/oral_argument_audio/22206
22016,55137,"Oral Argument - March 24, 2004",https://api.oyez.org/case_media/oral_argument_audio/22016
23011,55138,"Oral Argument - December 09, 2003",https://api.oyez.org/case_media/oral_argument_audio/23011
23511,55139,"Oral Argument - December 02, 2003",https://api.oyez.org/case_media/oral_argument_audio/23511
23553,55140,"Oral Argument - March 31, 2004",https://api.oyez.org/case_media/oral_argument_audio/23553
22386,55141,"Oral Argument - March 03, 2004",https://api.oyez.org/case_media/oral_argument_audio/22386
23496,55143,"Oral Argument - January 13, 2004",https://api.oyez.org/case_media/oral_argument_audio/23496
23020,55144,"Oral Argument - April 26, 2004",https://api.oyez.org/case_media/oral_argument_audio/23020
23071,55145,"Oral Argument - February 25, 2004",https://api.oyez.org/case_media/oral_argument_audio/23071
23543,55146,"Oral Argument - November 04, 2003",https://api.oyez.org/case_media/oral_argument_audio/23543
23047,55147,"Oral Argument - October 08, 2003",https://api.oyez.org/case_media/oral_argument_audio/23047
22785,55148,"Oral Argument - February 24, 2004",https://api.oyez.org/case_media/oral_argument_audio/22785
21857,55149,"Oral Argument - March 01, 2004",https://api.oyez.org/case_media/oral_argument_audio/21857
23655,55151,"Oral Argument - December 02, 2003",https://api.oyez.org/case_media/oral_argument_audio/23655
21631,55152,"Oral Argument - February 24, 2004",https://api.oyez.org/case_media/oral_argument_audio/21631
22708,55153,"Oral Argument - October 14, 2003",https://api.oyez.org/case_media/oral_argument_audio/22708
22236,55155,"Oral Argument - April 28, 2004",https://api.oyez.org/case_media/oral_argument_audio/22236
21377,55156,"Oral Argument - November 04, 2003",https://api.oyez.org/case_media/oral_argument_audio/21377
21546,55157,"Oral Argument - March 23, 2004",https://api.oyez.org/case_media/oral_argument_audio/21546
23004,55158,"Oral Argument - December 08, 2003",https://api.oyez.org/case_media/oral_argument_audio/23004
23165,55160,"Oral Argument - January 14, 2004",https://api.oyez.org/case_media/oral_argument_audio/23165
21697,55161,"Oral Argument - April 26, 2004",https://api.oyez.org/case_media/oral_argument_audio/21697
22296,55162,"Oral Argument - November 12, 2003",https://api.oyez.org/case_media/oral_argument_audio/22296
23549,55163,"Oral Argument - March 01, 2004",https://api.oyez.org/case_media/oral_argument_audio/23549
23601,55164,"Oral Argument - March 29, 2004",https://api.oyez.org/case_media/oral_argument_audio/23601
21867,55165,"Oral Argument - April 28, 2004",https://api.oyez.org/case_media/oral_argument_audio/21867
21528,55166,"Oral Argument - December 09, 2003",https://api.oyez.org/case_media/oral_argument_audio/21528
21350,55167,"Oral Argument - February 23, 2004",https://api.oyez.org/case_media/oral_argument_audio/21350
23634,55168,"Oral Argument - March 03, 2004",https://api.oyez.org/case_media/oral_argument_audio/23634
21526,55169,"Oral Argument - December 01, 2003",https://api.oyez.org/case_media/oral_argument_audio/21526
22545,55170,"Oral Argument - April 20, 2004",https://api.oyez.org/case_media/oral_argument_audio/22545
22998,55171,"Oral Argument - November 03, 2003",https://api.oyez.org/case_media/oral_argument_audio/22998
21874,55172,"Oral Argument - November 03, 2003",https://api.oyez.org/case_media/oral_argument_audio/21874
23471,55173,"Oral Argument - March 30, 2004",https://api.oyez.org/case_media/oral_argument_audio/23471
21872,55174,"Oral Argument - October 08, 2003",https://api.oyez.org/case_media/oral_argument_audio/21872
21739,55175,"Oral Argument - January 14, 2004",https://api.oyez.org/case_media/oral_argument_audio/21739
21927,55176,"Oral Argument - January 20, 2004",https://api.oyez.org/case_media/oral_argument_audio/21927
23072,55177,"Oral Argument - February 23, 2004",https://api.oyez.org/case_media/oral_argument_audio/23072
22456,55178,"Oral Argument - January 12, 2004",https://api.oyez.org/case_media/oral_argument_audio/22456
21991,55179,"Oral Argument - October 15, 2003",https://api.oyez.org/case_media/oral_argument_audio/21991
22148,55181,"Oral Argument - December 03, 2003",https://api.oyez.org/case_media/oral_argument_audio/22148
22181,55182,"Oral Argument - March 31, 2004",https://api.oyez.org/case_media/oral_argument_audio/22181
22176,55183,"Oral Argument - December 10, 2003",https://api.oyez.org/case_media/oral_argument_audio/22176
