ID,name,href,docket_number,term
60200,United States v. Fruehauf,https://api.oyez.org/cases/1960/91,91,1960
60201,Bell v. United States,https://api.oyez.org/cases/1960/92,92,1960
60202,Lewis v. Manufacturers National Bank of Detroit,https://api.oyez.org/cases/1960/94,94,1960
60203,Atchley v. California,https://api.oyez.org/cases/1960/95,95,1960
60204,Kossick v. United Fruit Co.,https://api.oyez.org/cases/1960/96,96,1960
60205,Cafeteria & Restaurant Workers v. McElroy,https://api.oyez.org/cases/1960/97,97,1960
60206,Hannah v. Larche,https://api.oyez.org/cases/1959/549,549,1959
60207,Scott v. California,https://api.oyez.org/cases/1960/241_misc,241 MISC,1960
60209,"Goldlawr, Inc. v. Heiman",https://api.oyez.org/cases/1961/101,101,1961
60212,Malone v. Bowdoin,https://api.oyez.org/cases/1961/113,113,1961
60213,"Manual Enterprises, Inc. v. Day",https://api.oyez.org/cases/1961/123,123,1961
60215,"Teamsters v. Yellow Transit Freight Lines, Inc.",https://api.oyez.org/cases/1961/13,13,1961
60217,Idlewild Bon Voyage Liquor Corporation v. Epstein,https://api.oyez.org/cases/1961/138,138,1961
60218,Kesler v. Dept. Of Public Safety,https://api.oyez.org/cases/1961/14,14,1961
60219,State Board of Insurance v. Todd Shipyards Corporation,https://api.oyez.org/cases/1961/144,144,1961
60221,Mercantile Nat'l Bank at Dallas v. Langdeau,https://api.oyez.org/cases/1962/14_0,14,1962
60222,Western Union Telegraph Company v. Pennsylvania,https://api.oyez.org/cases/1961/15,15,1961
60223,Coppedge v. United States,https://api.oyez.org/cases/1961/157,157,1961
60224,Carnley v. Cochran,https://api.oyez.org/cases/1961/158,158,1961
60225,Lynch v. Overholser,https://api.oyez.org/cases/1961/159,159,1961
60226,Roper v. United States,https://api.oyez.org/cases/1961/16,16,1961
60227,Marine Engineers Beneficial Association v. Interlake Steamship Company,https://api.oyez.org/cases/1961/166,166,1961
60228,"Interstate Commerce Commission v. J-T Transport Company, Inc.",https://api.oyez.org/cases/1961/17,17,1961
60229,United States v. National Dairy Products Corporation,https://api.oyez.org/cases/1961/18,18,1961
60230,California v. Federal Power Commission,https://api.oyez.org/cases/1961/187,187,1961
60231,United States v. Davis,https://api.oyez.org/cases/1961/190,190,1961
60234,Free v. Bland,https://api.oyez.org/cases/1961/205,205,1961
